bclist
Biochemistry reactions objects:
uuid	modDate	locked	id	name	abbreviation	cksum	equation	deltaG	deltaGErr	reversibility	thermoReversibility	defaultProtons	compartment_uuid	defaultTransproton
000105E4-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13349	Mannose-(inositol-P)2-ceramide, ceramide-2 (24C) phospholipase C	MIP2C224PLC_SC	''	cpd00001 + (0.01) cpd15255 <=> cpd00067 + cpd15224 + cpd16886	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0002D392-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13350	Mannose-(inositol-P)2-ceramide, ceramide-2 (26C) phospholipase C	MIP2C226PLC_SC	''	cpd00001 + (0.01) cpd15256 <=> cpd00067 + cpd15225 + cpd16886	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0004A97E-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13351	Mannose-(inositol-P)2-ceramide, ceramide-3 (24C) phospholipase C	MIP2C324PLC_SC	''	cpd00001 + (0.01) cpd15257 <=> cpd00067 + cpd15226 + cpd16886	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00069022-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13352	Mannose-(inositol-P)2-ceramide, ceramide-3 (26C) phospholipase C	MIP2C326PLC_SC	''	cpd00001 + (0.01) cpd15258 <=> cpd00067 + cpd15227 + cpd16886	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00087374-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13353	Mannose-inositol phosphorylceramide, ceramide-1 (24C) phospholipase C	MIPC124PLC_SC	''	cpd00001 + (0.01) cpd15259 <=> cpd00067 + cpd15220 + cpd16887	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
000A48AC-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13354	Mannose-inositol phosphorylceramide, ceramide-1 (26C) phospholipase C	MIPC126PLC_SC	''	cpd00001 + (0.01) cpd15260 <=> cpd00067 + cpd15221 + cpd16887	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
000C1E34-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13355	Mannose-inositol phosphorylceramide, ceramide-2 (24C) phospholipase C	MIPC224PLC_SC	''	cpd00001 + (0.01) cpd15261 <=> cpd00067 + cpd15224 + cpd16887	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
000DF8BC-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13356	Mannose-inositol phosphorylceramide, ceramide-2 (26C) phospholipase C	MIPC226PLC_SC	''	cpd00001 + (0.01) cpd15262 <=> cpd00067 + cpd15225 + cpd16887	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
000FDB82-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13357	Mannose-inositol phosphorylceramide, ceramide-3 (24C) phospholipase C	MIPC324PLC_SC	''	cpd00001 + (0.01) cpd15263 <=> cpd00067 + cpd15226 + cpd16887	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0011B7FE-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13358	Mannose-inositol phosphorylceramide, ceramide-3 (26C) phospholipase C	MIPC326PLC_SC	''	cpd00001 + (0.01) cpd15264 <=> cpd00067 + cpd15227 + cpd16887	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00138D54-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13360	NADP transporter	NADPt	''	cpd00006 <=> cpd00006[e]		2	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0014B1B6-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13361	NAD transport, nuclear through pores	NADtn	''	cpd00003[n] <=> cpd00003		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0015D708-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13362	N,N-bisformyl-dityrosine transport (extracellular)	NFORTYRt	''	cpd16877 <=> cpd16877[e]		2	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0016A250-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13363	N-formyltyrosine oxidase	NFTYROX	''	cpd00005 + cpd00067 + (2) cpd16878 <=> cpd00006 + cpd16877	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0018A910-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13364	ammonia nuclear transport	NH4tn	''	cpd00013 <=> cpd00013[n]		2	=	<	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0019C5C0-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13365	Oxaloacetate transport	OAAt	''	cpd00032 <=> cpd00032[e]		2	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
001AE3BA-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13366	Octadecynoate (n-C18:2) transport in via uniport	OCDCYAt	''	cpd16888[e] <=> cpd16888		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
001BB600-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13367	Alcohol Acetyltransferase (ethanol)	OHACT1	''	cpd00022 + cpd00363 <=> cpd00010 + cpd11966	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
001D762A-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13368	Alcohol Acetyltransferase (isoamyl alcohol)	OHACT2	''	cpd00022 + cpd04533 <=> cpd00010 + cpd09068	-3.614	1.17862	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
001F0F26-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13369	Alcohol Acetyltransferase (2-methylbutanol)	OHACT3	''	cpd00022 + cpd16873 <=> cpd00010 + cpd16872	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0020A19C-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13370	Alcohol Acetyltransferase (isobutyl alcohol)	OHACT4	''	cpd00022 + cpd10408 <=> cpd00010 + cpd16884	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
002239E4-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:20	0	rxn13371	Alcohol Acetyltransferase (Phenylethanol alcohol)	OHACT5	''	cpd00022 + cpd03481 <=> cpd00010 + cpd09075	-3.614	1.17862	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0023DC72-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13373	Phenylacetaldehyde transport (extracellular)	PACALDt	''	cpd00464 <=> cpd00464[e]		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0024C5C4-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13374	Phenylacetaldehyde transport (mitochondrial)	PACALDtm	''	cpd00464 <=> cpd00464[m]		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0025B20E-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13375	phosphatidylcholine-diacylglycerol acyltransferase	PCDAGAT	''	cpd11624 + cpd15192 <=> cpd11677 + cpd16871	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0027337C-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13376	all-trans-Pentaprenyl diphosphate transport, mitochondrial	PENDPtm	''	cpd02591 <=> cpd02591[m]		2	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00281724-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13377	Phenethyl acetate transport (extracellular)	PHEACt	''	cpd09075 <=> cpd09075[e]		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0028E334-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13378	1-phosphatidylinositol-3,5-bisphosphate 5-phosphatase, yeast-specific	PI35BP5P_SC	''	cpd00001 + (0.01) cpd13384 <=> cpd00009 + (0.01) cpd15287	-203.162	0.70711	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
002A9B52-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13379	phosphatidylinositol-3-phosphate 5-kinase, yeast-specfic	PI3P5K_SC	''	cpd00002 + (0.01) cpd15287 <=> cpd00008 + (0.01) cpd13384	205.875	0.122017	=	<	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
002C404C-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13380	1-phosphatidylinositol-4,5-bisphosphate 5-phosphatase, yeast-specific	PI45BP5P_SC	''	cpd00001 + (0.01) cpd12582 <=> cpd00009 + (0.01) cpd15288	-203.162	0.70711	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
002E0698-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13381	phospholipase B (phosphatidylinositol), yeast-specific (extracellular)	PLBP1I_SCe	''	cpd00001 + (0.005) cpd11822 <=> (0.27) cpd00214 + (0.5) cpd00902 + (0.05) cpd01080 + (0.02) cpd01107 + (0.06) cpd01741 + (0.1) cpd03847 + (0.17) cpd15237 + (0.24) cpd15269 + (0.09) cpd16888	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00325B44-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13382	phospholipase B (phosphatidylcholine), yeast-specific	PLBPC_SCe	''	cpd00001 + (0.005) cpd11624 <=> (0.27) cpd00214 + (0.5) cpd00507 + (0.05) cpd01080 + (0.02) cpd01107 + (0.06) cpd01741 + (0.1) cpd03847 + (0.17) cpd15237 + (0.24) cpd15269 + (0.09) cpd16888	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0036B0AE-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13384	phospholipase D, yeast-specific	PLD_SC	''	cpd00001 + (0.01) cpd11624 <=> cpd00098 + (0.01) cpd15276	68.1401	2.01288	=	<	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00386CD2-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13385	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase	PMI12346PS	''	cpd00002 + cpd00885 <=> cpd00008 + cpd08361		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
003A18FC-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13386	diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase	PMI1346PH	''	cpd00001 + cpd16891 <=> cpd00009 + cpd00067 + cpd00943	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
003C315A-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13387	diphosphoinositol-1,3,4,6-tetrakisphosphate synthase	PMI1346PS	''	cpd00002 + cpd00943 <=> cpd00008 + cpd16891	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
003DCC0E-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13388	poylamine oxidase	POLYAO3	''	cpd00001 + cpd00007 + cpd00558 <=> cpd00025 + cpd00264 + cpd01504	-23.5027	1.2779	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
004052A8-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13390	phytosphinganine 1-phosphate endoplasmic reticular transport	PSPH1Pter	''	cpd15283 <=> cpd15283[r]		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
004122DC-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13392	putrescine transport in via proton antiport, irreversible	PTRCt3i	''	cpd00067 + cpd00118[e] <=> cpd00067[e] + cpd00118		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0043075A-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13393	putrescine excretion (cytosol to extracellular)	PTRCtex2	''	cpd00118 <=> cpd00118[e]		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00441E88-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13394	pyruvate decarboxylase (acetoin-forming)	PYRDC2	''	cpd00020 + cpd00067 + cpd00071 <=> cpd00011 + cpd00361	-8.76	0.772642	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
