REACTION	ROLE	SUBSYSTEM	SOURCE	COMPLEX	MASTER
rxn12008	Octaprenyl-diphosphate synthase (EC 2.5.1.-)	Polyprenyl_Diphosphate_Biosynthesis	MATT FILE	100000	1
rxn12008	Solanesyl diphosphate synthase (Sds) (EC 2.5.1.11)	Polyprenyl_Diphosphate_Biosynthesis	MATT FILE	100001	1
rxn10155	C4-dicarboxylate transporter DcuA	NONE	CHRIS FILE	2035	1
rxn10155	C4-dicarboxylate transporter DcuB	NONE	CHRIS FILE	2035	1
rxn00541	Low-specificity L-threonine aldolase (EC 4.1.2.5)	NONE	Hope|MATT FILE	100002	1
rxn00225	Acetate kinase (EC 2.7.2.1)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1	1
rxn00225	Acetate kinase (EC 2.7.2.1)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1	1
rxn00225	Acetate kinase (EC 2.7.2.1)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1	1
rxn00225	Acetate kinase (EC 2.7.2.1)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1	1
rxn08954	Lipopolysaccharide core biosynthesis protein RfaZ	NONE	CHRIS FILE	2046	1
rxn01674	Uridine kinase (EC 2.7.1.48) [C1]	NONE	CHRIS FILE	2	1
rxn07291	Sulfur carrier protein adenylyltransferase ThiF	NONE	Hope	100003	0
rxn05901	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	NONE	Hope	100004	0
rxn05901	Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	NONE	Hope	100005	0
rxn05901	Phosphate:acyl-ACP acyltransferase PlsX	NONE	Hope	100006	0
rxn05572	D-glucarate permease	NONE	CHRIS FILE	4	1
rxn05572	D-galactarate permease	NONE	CHRIS FILE	1668	1
rxn04659	N-acetyl-lysine aminotransferase (EC 2.6.1.-)	NONE	Hope|MATT FILE	100007	1
rxn01199	Xylulose kinase (EC 2.7.1.17)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	5	1
rxn01199	Xylulose kinase (EC 2.7.1.17)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	5	1
rxn10215	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	NONE	CHRIS FILE	6	1
rxn06108	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	NONE	Hope	100008	0
rxn06108	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	NONE	Hope	100009	0
rxn06108	NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NONE	Hope	100010	0
rxn06108	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	NONE	Hope	100011	0
rxn06108	NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	NONE	Hope	100012	0
rxn06108	NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	NONE	Hope	100013	0
rxn06108	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	NONE	Hope	100014	0
rxn06108	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NONE	Hope	100015	0
rxn06108	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	NONE	Hope	100016	0
rxn06108	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	NONE	Hope	100017	0
rxn06108	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	NONE	Hope	100018	0
rxn06108	NADH dehydrogenase (EC 1.6.99.3)	NONE	Hope	100019	0
rxn06108	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	NONE	Hope	100020	0
rxn06108	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	NONE	Hope	100021	0
rxn02483	4-carboxymuconolactone decarboxylase (EC 4.1.1.44)	NONE	Hope|MATT FILE	100022	1
rxn00802	Argininosuccinate lyase (EC 4.3.2.1)	NONE	Hope|MATT FILE|CHRIS FILE	10	1
rxn00802	Argininosuccinate lyase (EC 4.3.2.1)	NONE	Hope|MATT FILE|CHRIS FILE	10	1
rxn03638	Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	Hope|MATT FILE|MATT FILE|CHRIS FILE	11	1
rxn03638	Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	11	1
rxn03638	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	NONE	CHRIS FILE	11	1
rxn10318	Poly(glycerophosphate chain) D-alanine transfer protein DltD	NONE	CHRIS FILE	2025	1
rxn08851	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08851	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn02377	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.-)	Lipopolysaccharide_biosynthesis_2	Hope|CHRIS FILE	1683	1
rxn00797	Uridine Nucleosidase (EC 3.2.2.3)	NONE	Hope|MATT FILE	100023	1
rxn03541	Adenosylcobinamide amidohydrolase (EC 3.5.1.90)	NONE	Hope|MATT FILE	100024	1
rxn06078	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49)	NONE	Hope|MATT FILE	100025	1
rxn00868	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	16	1
rxn00868	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	NONE	Hope|CHRIS FILE	1683	1
rxn00868	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	NONE	Hope|CHRIS FILE	1683	1
rxn00868	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	NONE	Hope|CHRIS FILE	1683	1
rxn03954	L-idonate 5-dehydrogenase (EC 1.1.1.264)	NONE	Hope|MATT FILE	100026	1
rxn01675	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	Lipopolysaccharide_biosynthesis_2	Hope|MATT FILE|CHRIS FILE	24	1
rxn01675	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	NONE	Hope|MATT FILE|CHRIS FILE	24	1
rxn12636	Peptidase B (EC 3.4.11.23)	NONE	CHRIS FILE	1673	1
rxn12636	Membrane alanine aminopeptidase N (EC 3.4.11.2)	NONE	CHRIS FILE	1674	1
rxn12636	Isoaspartyl aminopeptidase (EC 3.4.19.5)	NONE	CHRIS FILE	1671	1
rxn12636	Methionine aminopeptidase (EC 3.4.11.18)	NONE	CHRIS FILE	1677	1
rxn12636	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	NONE	CHRIS FILE	1675	1
rxn12636	Asp-X dipeptidase	NONE	CHRIS FILE	1672	1
rxn12636	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	NONE	CHRIS FILE	1678	1
rxn12636	Cytosol aminopeptidase PepA (EC 3.4.11.1)	NONE	CHRIS FILE	1676	1
rxn06802	L-aminoadipate-semialdehyde dehydrogenase small subunit (EC 1.2.1.31)	NONE	Hope|MATT FILE	100027	1
rxn06802	L-aminoadipate-semialdehyde dehydrogenase large subunit (EC 1.2.1.31)	NONE	Hope|MATT FILE	100028	1
rxn12644	Peptidase B (EC 3.4.11.23)	NONE	CHRIS FILE	1673	1
rxn12644	Membrane alanine aminopeptidase N (EC 3.4.11.2)	NONE	CHRIS FILE	1674	1
rxn12644	Isoaspartyl aminopeptidase (EC 3.4.19.5)	NONE	CHRIS FILE	1671	1
rxn12644	Methionine aminopeptidase (EC 3.4.11.18)	NONE	CHRIS FILE	1677	1
rxn12644	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	NONE	CHRIS FILE	1675	1
rxn12644	Asp-X dipeptidase	NONE	CHRIS FILE	1672	1
rxn12644	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	NONE	CHRIS FILE	1678	1
rxn12644	Cytosol aminopeptidase PepA (EC 3.4.11.1)	NONE	CHRIS FILE	1676	1
rxn06858	Polyhydroxyalkanoic acid synthase	Polyhydroxybutyrate_metabolism	Hope	100029	0
rxn05921	Choline dehydrogenase (EC 1.1.99.1)	NONE	Hope	100030	0
rxn01367	3'-nucleotidase (EC 3.1.3.6)	NONE	Hope|MATT FILE	100031	1
rxn10855	Magnesium citrate secondary transporter	NONE	CHRIS FILE	1683	1
rxn05536	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	NONE	CHRIS FILE	3007	1
rxn05536	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	NONE	CHRIS FILE	3005	1
rxn05536	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3000	1
rxn05536	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3004	1
rxn05536	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	NONE	CHRIS FILE	3003	1
rxn05536	Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	NONE	CHRIS FILE	3008	1
rxn05536	oligopeptide ABC transporter, ATP-binding protein (oppF)	NONE	CHRIS FILE	3011	1
rxn05536	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	NONE	CHRIS FILE	3009	1
rxn05536	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	NONE	CHRIS FILE	3010	1
rxn05536	Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	NONE	CHRIS FILE	3001	1
rxn05536	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	NONE	CHRIS FILE	3002	1
rxn05536	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	NONE	CHRIS FILE	3006	1
rxn03422	Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71)	NONE	Hope|MATT FILE	100032	1
rxn08941	Maltodextrin phosphorylase (EC 2.4.1.1)	NONE	CHRIS FILE	1683	1
rxn08800	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08800	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn06729	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	NONE	Hope|MATT FILE	100033	1
